modelica.stopTime,modelica.jturbine,modelica.ratio,modelica.rho,tl_peakPowerOutput.output,tl_integratedEnergy.output
'2678400',87951813.2924,83.6382210722,1.40227761489,1018601172.3208559,2020106711605.9312
'2678400',111177970.161,101.283629594,1.36620683173,980254773.15885842,1987960254715.9668
'2678400',162888009.49,109.872186157,1.10473440577,695413499.96888137,1756192896384.7507
'2678400',108990254.489,103.058666224,1.4418207673,1053476715.7991475,2054849211450.0645
'2678400',98489797.8485,104.690924303,1.27235698131,992745931.81292534,1905140669086.908
'2678400',152354467.089,92.3221002952,1.0833977018,644505203.0658015,1735551617840.9495
'2678400',105973043.581,98.3862304261,1.19556189502,871440862.69202089,1837133388247.3718
'2678400',57638911.0917,99.8280531106,1.44366212627,1451882710.233362,2057152036267.5779
'2678400',151212519.592,117.121762593,1.03463026457,704902102.76975417,1680356420563.9392
'2678400',43502876.1539,101.277922505,1.31499054354,1596495755.3903019,1943562348089.1877
'2678400',57879990.3887,112.103612797,1.09434307762,1207387479.4247684,1748259486024.5574
'2678400',116151142.797,119.688791688,1.35921632064,1046814729.8243526,1981757548985.4187
'2678400',27305756.2446,94.5559338427,1.07988345799,1563175045.0629504,1733138080765.7908
'2678400',123256016.573,119.508458775,1.01758897461,775508499.35769367,1661356125502.4229
'2678400',63655892.2999,119.846024529,1.23076783662,1331143915.3587639,1868835603715.6411
'2678400',21461324.41,90.0365503477,1.14705206102,1898320559.3828251,1795338047590.9451
'2678400',147382022.965,89.1394102866,1.41728933479,828214287.43310964,2032634840332.8809
'2678400',36447260.6707,94.6359036436,1.02984058937,1295031123.7431228,1676287173693.5901
'2678400',78621799.6911,83.6567122427,1.10546966944,858623733.78693783,1757786694247.3723
'2678400',71847207.8339,106.916615869,1.27467767616,1188486887.6064932,1907540155482.2119
'2678400',39704564.852,84.9473705178,1.19801365181,1386801045.0227377,1840150606548.7012
'2678400',105982489.97,105.237067922,1.08600597759,825635646.44548273,1739080708140.8347
'2678400',88128910.965,97.4661570953,1.35821435086,1067254130.5028249,1981176916748.5071
'2678400',75510552.7603,111.656245337,1.42006859642,1304277636.949542,2036065647475.3137
'2678400',10270885.393,98.3672166643,1.09519887359,2307845098.5436893,1749638849361.9043
'2678400',69028206.9748,110.428561718,1.11434868296,1089940237.3755913,1765805817983.8264
'2678400',94942710.3133,90.6604385863,1.14952734862,847544622.56361544,1796550365780.3372
'2678400',30338086.3883,95.6590833681,1.23224044063,1856392257.3139522,1870556588337.7498
